0.071,0.000,0.089
0.090,0.000,0.031
0.088,0.001,0.039
0.029,0.001,0.017
0.086,0.001,0.049
0.076,0.001,0.079
0.032,0.001,0.011
0.032,0.001,0.011
0.041,0.001,0.081
0.067,0.001,0.005
0.057,0.001,0.032
0.069,0.001,0.098
0.055,0.001,0.040
0.042,0.002,0.084
0.051,0.003,0.061
0.027,0.003,0.032
0.029,0.003,0.031
0.041,0.004,0.094
0.034,0.004,0.017
0.037,0.004,0.009
0.058,0.004,0.047
0.042,0.004,0.096
0.060,0.005,0.044
0.077,0.005,0.091
0.004,0.005,0.014
0.042,0.005,0.002
0.019,0.005,0.069
0.097,0.005,0.035
0.023,0.006,0.059
0.079,0.006,0.095
0.047,0.006,0.091
0.045,0.006,0.098
0.013,0.006,0.089
0.017,0.007,0.083
0.092,0.007,0.059
0.079,0.007,0.100
0.059,0.007,0.060
0.056,0.007,0.068
0.092,0.008,0.064
0.094,0.008,0.058
0.007,0.008,0.022
0.009,0.008,0.011
0.079,0.008,0.002
0.095,0.008,0.055
0.028,0.008,0.056
0.026,0.008,0.062
0.008,0.009,0.019
0.077,0.009,0.012
0.099,0.010,0.052
0.034,0.010,0.047
0.092,0.010,0.077
0.015,0.010,0.007
0.038,0.010,0.034
0.029,0.010,0.060
0.075,0.010,0.025
0.013,0.010,0.013
0.044,0.011,0.022
0.060,0.011,0.075
0.037,0.011,0.045
0.089,0.011,0.088
0.058,0.011,0.079
0.008,0.012,0.033
0.078,0.012,0.027
0.059,0.012,0.085
0.010,0.012,0.028
0.047,0.012,0.017
0.088,0.012,0.096
0.049,0.012,0.015
0.011,0.013,0.031
0.028,0.013,0.081
0.056,0.013,0.097
0.023,0.013,0.097
0.029,0.013,0.079
0.068,0.013,0.060
0.062,0.013,0.077
0.064,0.014,0.077
0.086,0.014,0.013
0.087,0.014,0.010
0.046,0.014,0.034
0.077,0.014,0.040
0.042,0.014,0.042
0.091,0.015,0.002
0.073,0.015,0.054
0.044,0.015,0.045
0.032,0.016,0.085
0.001,0.017,0.082
0.061,0.017,0.002
0.097,0.017,0.097
0.042,0.017,0.060
0.087,0.017,0.026
0.081,0.018,0.048
0.099,0.019,0.097
0.053,0.019,0.035
0.089,0.019,0.027
0.060,0.019,0.014
0.099,0.019,0.097
0.021,0.019,0.030
0.075,0.019,0.070
0.057,0.019,0.022
0.004,0.020,0.089
0.060,0.020,0.020
0.040,0.020,0.080
0.091,0.020,0.028
0.037,0.021,0.097
0.012,0.021,0.067
