0.894,0.870,0.869
0.932,0.856,0.883
0.846,0.983,0.974
0.922,0.890,0.883
0.945,0.875,0.942
0.886,0.803,0.958
0.982,0.833,0.819
0.997,0.929,0.855
0.886,0.867,0.877
0.983,0.885,0.874
0.916,0.958,0.844
0.943,0.983,0.889
0.893,0.998,0.912
0.967,0.900,0.998
0.889,0.851,0.989
0.991,0.988,0.967
0.872,0.859,0.879
0.818,0.851,0.801
0.854,0.866,0.967
0.840,0.895,0.959
0.907,0.857,0.966
0.857,0.986,0.961
0.847,0.952,0.820
0.843,0.956,0.851
0.986,0.977,0.926
0.898,0.913,0.869
0.809,0.837,0.958
0.879,0.921,0.969
0.879,0.890,0.815
0.802,0.966,0.826
0.829,0.869,0.857
0.877,0.814,0.838
0.948,0.826,0.885
0.946,0.879,0.953
0.930,0.990,0.961
0.834,0.888,0.937
0.821,0.892,0.800
0.924,0.820,0.928
0.981,0.919,0.853
0.909,0.985,0.998
0.835,0.980,0.995
0.834,0.987,0.834
0.808,0.939,0.869
0.929,0.838,0.805
0.909,0.930,0.923
0.827,0.964,0.941
0.811,0.834,0.937
0.980,0.892,0.919
0.918,0.832,0.808
0.942,0.885,0.802
0.956,0.971,0.986
0.820,0.941,0.843
0.993,0.836,0.803
0.906,0.923,0.894
0.903,0.830,0.844
0.928,0.908,0.957
0.860,0.829,0.964
0.933,0.975,0.874
0.847,0.813,0.922
0.971,0.889,0.934
0.801,0.805,0.822
0.895,0.809,0.958
0.966,0.954,0.871
0.892,0.849,0.970
0.904,0.807,0.923
0.994,0.801,0.823
0.912,0.891,0.919
0.922,0.853,0.899
0.937,0.986,0.919
0.840,0.839,0.878
0.871,0.920,0.988
0.982,0.944,0.975
0.843,0.891,0.924
0.948,0.969,0.802
0.902,0.906,0.822
0.991,0.890,0.876
0.911,0.926,0.896
0.902,0.821,0.801
0.941,0.900,0.880
0.898,0.851,0.963
0.859,0.806,0.855
0.856,0.916,0.812
0.913,0.927,0.899
0.910,0.857,0.951
0.987,0.880,0.841
0.963,0.892,0.970
0.974,0.961,0.881
0.923,0.973,0.896
0.962,0.919,0.912
0.803,0.876,0.973
0.838,0.872,0.844
0.805,0.894,0.854
0.986,0.971,0.895
0.962,0.926,0.945
0.944,0.888,0.808
0.977,0.860,0.969
0.863,0.809,0.856
0.851,0.889,0.891
0.990,0.875,0.806
0.803,1.000,0.989
